gaugeId;latitude;longitude
hybas_1121890140;14.314583333332337;-4.422916666669437
hybas_1120758950;11.427083333332233;-6.581250000002682
hybas_1120641660;14.506249999999;-4.206250000002797
hybas_1121905290;13.360416666665628;-6.789583333336111
hybas_1120661040;13.985416666665571;-7.1520833333361225
hybas_1120737100;12.018749999998988;-8.322916666669414
hybas_1121900350;13.68541666666556;-5.893750000002797
hybas_1120679780;13.493749999998954;-6.202083333336134
hybas_1121919510;12.410416666665697;-8.106250000002774
hybas_1120766460;11.22291666666553;-8.485416666669321
hybas_1120739110;11.977083333332189;-6.360416666669494
hybas_1120650110;14.277083333332143;-6.9270833333361
hybas_1120689830;13.210416666665594;-7.07708333333602
hybas_1121895840;13.956249999998818;-5.360416666669494
hybas_1121893090;14.131249999998944;-5.039583333336168
hybas_1120705070;12.835416666665594;-7.58125000000274
